datetime,sourceCountry,language,title,url,symbol,timestamp
20260119T120000Z,United States,English,Meitav Investment House Ltd . Invests $1 . 34 Million in Invesco Galaxy Ethereum Etf $QETH,https://www.dailypolitical.com/2026/01/19/meitav-investment-house-ltd-invests-1-34-million-in-invesco-galaxy-ethereum-etf-qeth.html,ETH,2026-01-19 12:00:00+00:00
20260120T064500Z,United States,English,"Ethereum Price Trapped Under $3 , 250 , Momentum Tilts Lower",https://www.newsbtc.com/analysis/eth/ethereum-price-trapped-under-3250/,ETH,2026-01-20 06:45:00+00:00
20260120T213000Z,United States,English,"Ethereum Price Prediction : ETH Price Holds Triple Bottom Breakout as $3 , 100 – $3 , 200 Support Defines Path to $4 , 000",https://bravenewcoin.com/insights/ethereum-price-prediction-eth-price-holds-triple-bottom-breakout-as-3100-3200-support-defines-path-to-4000,ETH,2026-01-20 21:30:00+00:00
20260121T071500Z,United States,English,"Ethereum Price Breaks Under $3K , Charts Flash Fresh Warnings",https://www.newsbtc.com/analysis/eth/ethereum-price-breaks-under-3k/,ETH,2026-01-21 07:15:00+00:00
20260122T061500Z,United States,English,"Ethereum Price Attempts Bounce While $3 , 000 Separates Bulls And Bears",https://www.newsbtc.com/analysis/eth/ethereum-price-attempts-bounce-3k/,ETH,2026-01-22 06:15:00+00:00
20260123T053000Z,United States,English,"Ethereum Bulls Must Conquer $3 , 050 Or Momentum Quickly Fades",https://www.newsbtc.com/analysis/eth/ethereum-bulls-must-conquer-3050/,ETH,2026-01-23 05:30:00+00:00
20260123T193000Z,Canada,English,Baystreet . ca - Outflows From Bitcoin ETFs Resume As Price Slumps,http://baystreet.ca/cryptonews/1228/Outflows-From-Bitcoin-ETFs-Resume-As-Price-Slumps,BTC,2026-01-23 19:30:00+00:00
20260124T003000Z,United States,English,GraniteShares YieldBOOST Bitcoin ETF ( NASDAQ : XBTY ) to Issue $0 . 19 Dividend,https://www.themarketsdaily.com/2026/01/24/graniteshares-yieldboost-bitcoin-etf-nasdaqxbty-to-issue-0-19-dividend.html,BTC,2026-01-24 00:30:00+00:00
20260124T144500Z,United States,English,Bitcoin Price Still Has Room To Fall Below $60K Crypto CEO,https://www.newsbtc.com/news/bitcoin/bitcoin-price-still-has-room-to-fall-below-60k-crypto-ceo/,BTC,2026-01-24 14:45:00+00:00
20260124T204500Z,United States,English,Ethereum ( ETH ) Price Prediction : Ethereum Retests $3K Resistance as Accumulation and Transaction Growth Support Upside,https://bravenewcoin.com/insights/ethereum-eth-price-prediction-ethereum-retests-3k-resistance-as-accumulation-and-transaction-growth-support-upside,ETH,2026-01-24 20:45:00+00:00
20260125T004500Z,United States,English,Franklin Bitcoin ETF ( BATS : EZBC ) Trading Up 0 . 7 % – Time to Buy ? ,https://www.tickerreport.com/banking-finance/13325340/franklin-bitcoin-etf-batsezbc-trading-up-0-7-time-to-buy.html,BTC,2026-01-25 00:45:00+00:00
20260125T150000Z,United States,English,"ChatGPT , Gemini , Grok , and Claude All Predict Bitcoin Price for 2026 Why the $85K to $250K Range Matters",https://finance.yahoo.com/news/chatgpt-gemini-grok-claude-predict-154954734.html,BTC,2026-01-25 15:00:00+00:00
20260126T041500Z,United States,English,"Ethereum Price Sinks To $2 , 800 , Raising Fresh Downside Fears",https://www.newsbtc.com/analysis/eth/ethereum-price-sinks-to-2800/,ETH,2026-01-26 04:15:00+00:00
20260127T011500Z,United States,English,Bitcoin ( BTC ) Price Prediction : $112K in Focus if Flag Breakout Holds Above Key Resistance,https://bravenewcoin.com/insights/bitcoin-btc-price-prediction-112k-in-focus-if-flag-breakout-holds-above-key-resistance,BTC,2026-01-27 01:15:00+00:00
20260127T050000Z,United States,English,"Ethereum Price Rebounds , Yet $3K Remains A Brutal Resistance Test",https://www.newsbtc.com/analysis/eth/ethereum-price-rebounds-2880/,ETH,2026-01-27 05:00:00+00:00
20260127T233000Z,United States,English,BlackRock Files S - 1 for Bitcoin Premium Income ETF as Crypto ETPs See $1 . 73B in Outflows,https://finance.yahoo.com/news/blackrock-files-1-bitcoin-premium-150539960.html,BTC,2026-01-27 23:30:00+00:00
20260128T070000Z,United States,English,Ethereum Price Breaks Back To $3K As Traders Question Follow - Through,https://www.newsbtc.com/analysis/eth/ethereum-price-breaks-to-3k/,ETH,2026-01-28 07:00:00+00:00
20260128T151500Z,China,English,Bitcoin ETFs Hit a  Pivot  Amid Reports of New Buyer Surge,https://cointelegraph.com/news/bitcoin-etf-86k-break-even-level-us-wirehouse-influx,BTC,2026-01-28 15:15:00+00:00
20260129T153000Z,China,English,Analysts Say This Must Happen for Bitcoin to Take Out $90K Resistance,https://cointelegraph.com/news/bitcoin-price-rejected-at-90k-again-what-will-trigger-breakout,BTC,2026-01-29 15:30:00+00:00
20260129T153000Z,China,English,Bitcoin Risks a Trip to  Bearadise  at the Hands of a Manipulative Entity,https://cointelegraph.com/news/single-bitcoin-entity-keeping-btc-price-suppressed-below-90k-analysis,BTC,2026-01-29 15:30:00+00:00
20260129T211500Z,United States,English,ProShares Ultra Bitcoin ETF ( NYSEARCA : BITU ) Shares Down 10 . 5 % – Time to Sell ? ,https://www.tickerreport.com/banking-finance/13329895/proshares-ultra-bitcoin-etf-nysearcabitu-shares-down-10-5-time-to-sell.html,BTC,2026-01-29 21:15:00+00:00
20260130T044500Z,United States,English,"Ethereum Price Dumps To $2 , 700 , Bulls Scramble To Defend Support",https://www.newsbtc.com/analysis/eth/ethereum-price-dumps-to-2700/,ETH,2026-01-30 04:45:00+00:00
20260130T220000Z,United States,English,"Ethereum ( ETH ) Price Prediction : Ethereum Dip to $2 , 700 May Offer Strategic Entry for Long - Term Bulls",https://bravenewcoin.com/insights/ethereum-eth-price-prediction-ethereum-dip-to-2700-may-offer-strategic-entry-for-long-term-bulls,ETH,2026-01-30 22:00:00+00:00
20260131T120000Z,United States,English,Here Why Ethereum Price is Crashing Despite Soaring Network Metric,https://www.banklesstimes.com/articles/2026/01/31/heres-why-ethereum-price-is-crashing-despite-soaring-network-metric/,ETH,2026-01-31 12:00:00+00:00
20260131T220000Z,United States,English,Bitcoin ( BTC ) Price Prediction : Can BTC Hold Above $84K and Target $94K on Improving Technicals ? ,https://bravenewcoin.com/insights/bitcoin-btc-price-prediction-can-btc-hold-above-84k-and-target-94k-on-improving-technicals,BTC,2026-01-31 22:00:00+00:00
20260201T154500Z,United States,English,Bitcoin ETFs See $6 Billion Exit as Institutional Demand Cools,https://finance.yahoo.com/news/bitcoin-etfs-see-6-billion-144855237.html,BTC,2026-02-01 15:45:00+00:00
20260202T211500Z,United States,English,"Ethereum ( ETH ) Price Prediction : ETH Stabilizes Near $2 , 200 Support Amid Accumulation , Eyes $3 , 500 – $3 , 800 Rebound",https://bravenewcoin.com/insights/ethereum-eth-price-prediction-eth-stabilizes-near-2200-support-amid-accumulation-eyes-3500-3800-rebound,ETH,2026-02-02 21:15:00+00:00
20260203T211500Z,United States,English,Bitcoin ( BTC ) Price Prediction : Bitcoin Tests $74K Demand as $80K Resistance Caps Relief Rally Amid ETF Liquidity Reset,https://bravenewcoin.com/insights/bitcoin-btc-price-prediction-bitcoin-tests-74k-demand-as-80k-resistance-caps-relief-rally-amid-etf-liquidity-reset,BTC,2026-02-03 21:15:00+00:00
20260205T003000Z,China,English,Ethereum Price Forecast : ETH faces heavy distribution as price slips below average cost basis of investors,https://www.fxstreet.com/cryptocurrencies/news/ethereum-price-forecast-eth-faces-heavy-distribution-as-price-slips-below-average-cost-basis-of-investors-202602042344,ETH,2026-02-05 00:30:00+00:00
20260207T160000Z,United States,English,"  Panic Mode  $10 , 000 Bitcoin Price Crash Warning Suddenly Triggers Huge BlackRock Earthquake",https://www.forbes.com/sites/digital-assets/2026/02/07/panic-mode-10000-bitcoin-price-crash-warning-suddenly-triggers-huge-blackrock-earthquake/,BTC,2026-02-07 16:00:00+00:00
20260210T234500Z,United States,English,Bitcoin ( BTC ) Price Prediction : Bitcoin Holds Key $70K Support as Cycle Signals Point to Transitional Phase,https://bravenewcoin.com/insights/bitcoin-btc-price-prediction-bitcoin-holds-key-70k-support-as-cycle-signals-point-to-transitional-phase,BTC,2026-02-10 23:45:00+00:00
20260211T070000Z,United States,English,Ethereum Price Slips Into Danger Zone As Breakdown Threat Grows,https://www.newsbtc.com/analysis/eth/ethereum-price-slips-danger-2120/,ETH,2026-02-11 07:00:00+00:00
20260211T123000Z,China,English,Ethereum Whales Accumulate Aggressively as ETH Price Drops Below $2K,https://cointelegraph.com/news/ethereum-holders-full-scale-accumulation-eth-price-drops-below-2k,ETH,2026-02-11 12:30:00+00:00
20260212T210000Z,China,English,Ethereum Price Forecast : ETH ETF investors face huge unrealized losses following price slump,https://www.fxstreet.com/cryptocurrencies/news/ethereum-price-forecast-eth-etf-investors-face-huge-unrealized-losses-following-price-slump-202602122008,ETH,2026-02-12 21:00:00+00:00
20260213T014500Z,China,English,Here Why Bitcoin Analysts Say BTC Market Will Bottom in Q4 2026 . ,https://cointelegraph.com/news/bitcoin-in-capitulation-zone-as-traders-debate-when-btc-price-will-bottom,BTC,2026-02-13 01:45:00+00:00
20260213T113000Z,United States,English,Bitcoin Price Prediction as Crypto Fear and Greed Index Slips as Risks Rise,https://www.banklesstimes.com/articles/2026/02/13/bitcoin-price-prediction-as-crypto-fear-and-greed-index-slips-as-risks-rise/,BTC,2026-02-13 11:30:00+00:00
20260214T004500Z,United States,English,Ethereum Sitting In The  Opportunity Zone  Is Still Struggling At Price Recovery,https://finance.yahoo.com/news/ethereum-sitting-opportunity-zone-still-170000935.html,ETH,2026-02-14 00:45:00+00:00
20260215T223000Z,United States,English,Bitcoin Price Prediction : Bitcoin Tests 0 . 382 Fibonacci as IBIT Signals Mounting Bearish Pressure,https://bravenewcoin.com/insights/bitcoin-price-prediction-bitcoin-tests-0-382-fibonacci-as-ibit-signals-mounting-bearish-pressure,BTC,2026-02-15 22:30:00+00:00
20260216T043000Z,United States,English,"Ethereum Price Reverses Under $2 , 000 , Bulls On The Back Foot",https://www.newsbtc.com/analysis/eth/ethereum-price-reverses-under-2000/,ETH,2026-02-16 04:30:00+00:00
20260216T171500Z,United States,English,Bitcoin Price Drops Amid BTC ETF Outflows : Here Why,https://www.coinspeaker.com/bitcoin-price-drops-etf-outflows-weakening-institutional-interest/,BTC,2026-02-16 17:15:00+00:00
